latitude,longitude,time_rel,gpsspeed
38.069438,-122.226998,134362,44.38125045
38.069581,-122.227065,134363,46.32061026
38.069732,-122.227137,134364,48.0566217
38.06989,-122.227215,134365,49.70304977
38.070056,-122.227299,134366,51.39129346
38.07023,-122.22739,134367,53.12202254
38.070411,-122.227482,134368,54.80907627
38.070594,-122.227579,134369,56.44069858
38.070781,-122.22768,134370,58.12209766
38.070975,-122.227794,134371,59.92566919
38.071172,-122.227926,134372,61.74077334
38.07137,-122.228069,134373,63.34940443
38.071566,-122.228226,134374,64.6472471
38.071765,-122.228394,134375,65.72261963
38.071972,-122.228569,134376,66.72418253
38.072186,-122.228749,134377,67.69107256
38.072406,-122.228932,134378,68.50193562
38.072629,-122.229114,134379,68.98541765
38.072856,-122.229296,134380,69.09315552
38.073088,-122.229479,134381,68.9648813
38.073325,-122.229661,134382,68.8427082
38.073567,-122.229844,134383,68.93831816
38.07381,-122.230026,134384,69.33437505
38.07405,-122.230204,134385,69.93311075
38.074291,-122.23038,134386,70.48318559
38.07453,-122.230556,134387,70.7101202
38.074772,-122.230735,134388,70.47693543
38.075013,-122.230916,134389,69.86592308
38.07526,-122.231099,134390,69.14203874
38.075508,-122.231282,134391,68.61785696
38.075762,-122.231457,134392,68.49092247
38.076015,-122.231623,134393,68.75647336
38.076267,-122.231777,134394,69.24084865
38.07652,-122.231919,134395,69.71741107
38.076773,-122.232055,134396,70.03169618
38.077028,-122.232183,134397,70.16130838
38.077288,-122.232301,134398,70.17901585
38.077551,-122.232413,134399,70.15914914
38.077822,-122.232516,134400,70.11361307
38.078097,-122.232608,134401,70.0202351
38.078374,-122.232694,134402,69.89419395
38.078648,-122.232781,134403,69.79880797
38.078922,-122.232864,134404,69.79233558
38.0792,-122.232938,134405,69.87633886
38.079478,-122.233004,134406,69.98638325
38.079757,-122.233062,134407,70.0396566
38.080035,-122.233113,134408,69.99352541
38.080315,-122.233157,134409,69.85245403
38.080601,-122.233192,134410,69.6476178
38.080885,-122.233221,134411,69.43057903
38.081169,-122.23324,134412,69.26316824
38.081451,-122.233255,134413,69.1896565
38.081731,-122.23326,134414,69.21376407
38.082006,-122.233267,134415,69.30111574
38.082282,-122.233266,134416,69.40208325
38.08256,-122.233258,134417,69.4773808
38.082841,-122.233244,134418,69.51287167
38.083118,-122.233226,134419,69.51882402
